ZIPCODE,TITLE
06825,"Bridgeport-Stamford-Norwalk, CT"
06875,"Bridgeport-Stamford-Norwalk, CT"
06470,"Bridgeport-Stamford-Norwalk, CT"
06784,"Bridgeport-Stamford-Norwalk, CT"
06888,"Bridgeport-Stamford-Norwalk, CT"
06911,"Bridgeport-Stamford-Norwalk, CT"
06606,"Bridgeport-Stamford-Norwalk, CT"
06804,"Bridgeport-Stamford-Norwalk, CT"
06881,"Bridgeport-Stamford-Norwalk, CT"
06611,"Bridgeport-Stamford-Norwalk, CT"
06838,"Bridgeport-Stamford-Norwalk, CT"
06699,"Bridgeport-Stamford-Norwalk, CT"
39647,"Brookhaven, MS"
39603,"Brookhaven, MS"
97406,"Brookings, OR"
97464,"Brookings, OR"
38037,"Brownsville, TN"
78551,"Brownsville-Harlingen, TX"
76823,"Brownwood, TX"
31537,"Brunswick, GA"
31553,"Brunswick, GA"
31527,"Brunswick, GA"
14080,"Buffalo-Cheektowaga, NY"
14241,"Buffalo-Cheektowaga, NY"
14260,"Buffalo-Cheektowaga, NY"
14263,"Buffalo-Cheektowaga, NY"
14139,"Buffalo-Cheektowaga, NY"
14091,"Buffalo-Cheektowaga, NY"
14102,"Buffalo-Cheektowaga, NY"
14006,"Buffalo-Cheektowaga, NY"
14127,"Buffalo-Cheektowaga, NY"
14013,"Buffalo-Cheektowaga, NY"
14034,"Buffalo-Cheektowaga, NY"
14220,"Buffalo-Cheektowaga, NY"
14217,"Buffalo-Cheektowaga, NY"
14072,"Buffalo-Cheektowaga, NY"
14069,"Buffalo-Cheektowaga, NY"
14141,"Buffalo-Cheektowaga, NY"
14169,"Buffalo-Cheektowaga, NY"
14302,"Buffalo-Cheektowaga, NY"
14132,"Buffalo-Cheektowaga, NY"
52646,"Burlington, IA-IL"
52637,"Burlington, IA-IL"
27249,"Burlington, NC"
05449,"Burlington-South Burlington, VT"
05490,"Burlington-South Burlington, VT"
05402,"Burlington-South Burlington, VT"
05450,"Burlington-South Burlington, VT"
05460,"Burlington-South Burlington, VT"
05476,"Burlington-South Burlington, VT"
05457,"Burlington-South Burlington, VT"
05447,"Burlington-South Burlington, VT"
05463,"Burlington-South Burlington, VT"
59702,"Butte-Silver Bow, MT"
59750,"Butte-Silver Bow, MT"
59727,"Butte-Silver Bow, MT"
49618,"Cadillac, MI"
49689,"Cadillac, MI"
20659,"California-Lexington Park, MD"
20624,"California-Lexington Park, MD"
20627,"California-Lexington Park, MD"
21648,"Cambridge, MD"
71701,"Camden, AR"
71766,"Camden, AR"
71763,"Camden, AR"
71762,"Camden, AR"
42743,"Campbellsville, KY"
81212,"Ca??on City, CO"
81253,"Ca??on City, CO"
44695,"Canton-Massillon, OH"
44615,"Canton-Massillon, OH"
44625,"Canton-Massillon, OH"
44639,"Canton-Massillon, OH"
43986,"Canton-Massillon, OH"
44675,"Canton-Massillon, OH"
44730,"Canton-Massillon, OH"
44648,"Canton-Massillon, OH"
44706,"Canton-Massillon, OH"
44640,"Canton-Massillon, OH"
44630,"Canton-Massillon, OH"
44680,"Canton-Massillon, OH"
33904,"Cape Coral-Fort Myers, FL"
33971,"Cape Coral-Fort Myers, FL"
33990,"Cape Coral-Fort Myers, FL"
33914,"Cape Coral-Fort Myers, FL"
34134,"Cape Coral-Fort Myers, FL"
33929,"Cape Coral-Fort Myers, FL"
33910,"Cape Coral-Fort Myers, FL"
33957,"Cape Coral-Fort Myers, FL"
62969,"Cape Girardeau, MO-IL"
63740,"Cape Girardeau, MO-IL"
63780,"Cape Girardeau, MO-IL"
62916,"Carbondale-Marion, IL"
62902,"Carbondale-Marion, IL"
62832,"Carbondale-Marion, IL"
62974,"Carbondale-Marion, IL"
62987,"Carbondale-Marion, IL"
88253,"Carlsbad-Artesia, NM"
51430,"Carroll, IA"
51401,"Carroll, IA"
51462,"Carroll, IA"
51463,"Carroll, IA"
89713,"Carson City, NV"
89423,"Carson City, NV"
82636,"Casper, WY"
84772,"Cedar City, UT"
52206,"Cedar Rapids, IA"
52205,"Cedar Rapids, IA"
52237,"Cedar Rapids, IA"
52323,"Cedar Rapids, IA"
52216,"Cedar Rapids, IA"
52302,"Cedar Rapids, IA"
52214,"Cedar Rapids, IA"
45846,"Celina, OH"
42345,"Central City, KY"
42220,"Central City, KY"
62892,"Centralia, IL"
62807,"Centralia, IL"
98591,"Centralia, WA"
98565,"Centralia, WA"
17224,"Chambersburg-Waynesboro, PA"
17219,"Chambersburg-Waynesboro, PA"
17246,"Chambersburg-Waynesboro, PA"
17235,"Chambersburg-Waynesboro, PA"
17201,"Chambersburg-Waynesboro, PA"
61802,"Champaign-Urbana, IL"
61851,"Champaign-Urbana, IL"
61863,"Champaign-Urbana, IL"
61840,"Champaign-Urbana, IL"
61816,"Champaign-Urbana, IL"
61839,"Champaign-Urbana, IL"
61929,"Champaign-Urbana, IL"
25164,"Charleston, WV"
25111,"Charleston, WV"
25243,"Charleston, WV"
25326,"Charleston, WV"
25071,"Charleston, WV"
25112,"Charleston, WV"
25333,"Charleston, WV"
25026,"Charleston, WV"
25159,"Charleston, WV"
25079,"Charleston, WV"
25573,"Charleston, WV"
25534,"Charleston, WV"
61920,"Charleston-Mattoon, IL"
62440,"Charleston-Mattoon, IL"
62420,"Charleston-Mattoon, IL"
61943,"Charleston-Mattoon, IL"
62445,"Charleston-Mattoon, IL"
29461,"Charleston-North Charleston, SC"
29469,"Charleston-North Charleston, SC"
29472,"Charleston-North Charleston, SC"
29401,"Charleston-North Charleston, SC"
29409,"Charleston-North Charleston, SC"
29438,"Charleston-North Charleston, SC"
29464,"Charleston-North Charleston, SC"
29471,"Charleston-North Charleston, SC"
29432,"Charleston-North Charleston, SC"
28133,"Charlotte-Concord-Gastonia, NC-SC"
28075,"Charlotte-Concord-Gastonia, NC-SC"
28107,"Charlotte-Concord-Gastonia, NC-SC"
28124,"Charlotte-Concord-Gastonia, NC-SC"
28082,"Charlotte-Concord-Gastonia, NC-SC"
28016,"Charlotte-Concord-Gastonia, NC-SC"
28086,"Charlotte-Concord-Gastonia, NC-SC"
28033,"Charlotte-Concord-Gastonia, NC-SC"
28123,"Charlotte-Concord-Gastonia, NC-SC"
28634,"Charlotte-Concord-Gastonia, NC-SC"
28130,"Charlotte-Concord-Gastonia, NC-SC"
28234,"Charlotte-Concord-Gastonia, NC-SC"
28223,"Charlotte-Concord-Gastonia, NC-SC"
28202,"Charlotte-Concord-Gastonia, NC-SC"
28244,"Charlotte-Concord-Gastonia, NC-SC"
28222,"Charlotte-Concord-Gastonia, NC-SC"
28256,"Charlotte-Concord-Gastonia, NC-SC"
28231,"Charlotte-Concord-Gastonia, NC-SC"
28105,"Charlotte-Concord-Gastonia, NC-SC"
28288,"Charlotte-Concord-Gastonia, NC-SC"
28216,"Charlotte-Concord-Gastonia, NC-SC"
28220,"Charlotte-Concord-Gastonia, NC-SC"
28228,"Charlotte-Concord-Gastonia, NC-SC"
28147,"Charlotte-Concord-Gastonia, NC-SC"
28111,"Charlotte-Concord-Gastonia, NC-SC"
29720,"Charlotte-Concord-Gastonia, NC-SC"
29718,"Charlotte-Concord-Gastonia, NC-SC"
29726,"Charlotte-Concord-Gastonia, NC-SC"
29708,"Charlotte-Concord-Gastonia, NC-SC"
22923,"Charlottesville, VA"
22908,"Charlottesville, VA"
22974,"Charlottesville, VA"
22976,"Charlottesville, VA"
22971,"Charlottesville, VA"
38901,"Grenada, MS"
38961,"Grenada, MS"
00723,"Guayama, PR"
39426,"Gulfport-Biloxi, MS"
39573,"Gulfport-Biloxi, MS"
39522,"Gulfport-Biloxi, MS"
39560,"Gulfport-Biloxi, MS"
39534,"Gulfport-Biloxi, MS"
39574,"Gulfport-Biloxi, MS"
39531,"Gulfport-Biloxi, MS"
39506,"Gulfport-Biloxi, MS"
39552,"Gulfport-Biloxi, MS"
39553,"Gulfport-Biloxi, MS"
39595,"Gulfport-Biloxi, MS"
73939,"Guymon, OK"
73942,"Guymon, OK"
21719,"Hagerstown-Martinsburg, MD-WV"
21746,"Hagerstown-Martinsburg, MD-WV"
21782,"Hagerstown-Martinsburg, MD-WV"
