FIP5,TITLE,GEOGRAPHY
22047,"Baton Rouge, LA",CBSA
22063,Livingston Parish,County
22063,"Baton Rouge, LA",CBSA
22077,Pointe Coupee Parish,County
22077,"Baton Rouge, LA",CBSA
22091,St. Helena Parish,County
22091,"Baton Rouge, LA",CBSA
22121,West Baton Rouge Parish,County
22121,"Baton Rouge, LA",CBSA
22125,West Feliciana Parish,County
22125,"Baton Rouge, LA",CBSA
26025,Calhoun County,County
26025,"Battle Creek, MI",CBSA
26025,"Kalamazoo-Battle Creek-Portage, MI",CSA
26017,Bay County,County
26017,"Bay City, MI",CBSA
26017,"Saginaw-Midland-Bay City, MI",CSA
48321,Matagorda County,County
48321,"Bay City, TX",CBSA
48321,"Houston-The Woodlands, TX",CSA
31067,Gage County,County
31067,"Beatrice, NE",CBSA
31067,"Lincoln-Beatrice, NE",CSA
48199,Hardin County,County
48199,"Beaumont-Port Arthur, TX",CBSA
48245,Jefferson County,County
48245,"Beaumont-Port Arthur, TX",CBSA
48361,Orange County,County
48361,"Beaumont-Port Arthur, TX",CBSA
55027,Dodge County,County
55027,"Beaver Dam, WI",CBSA
55027,"Milwaukee-Racine-Waukesha, WI",CSA
54019,Fayette County,County
54019,"Beckley, WV",CBSA
54081,Raleigh County,County
54081,"Beckley, WV",CBSA
18093,Lawrence County,County
18093,"Bedford, IN",CBSA
18093,"Bloomington-Bedford, IN",CSA
48025,Bee County,County
48025,"Beeville, TX",CBSA
39091,Logan County,County
39091,"Bellefontaine, OH",CBSA
39091,"Columbus-Marion-Zanesville, OH",CSA
53073,Whatcom County,County
53073,"Bellingham, WA",CBSA
27007,Beltrami County,County
27007,"Bemidji, MN",CBSA
41017,Deschutes County,County
41017,"Bend, OR",CBSA
41017,"Bend-Prineville, OR",CSA
45069,Marlboro County,County
45069,"Bennettsville, SC",CBSA
50003,Bennington County,County
50003,"Bennington, VT",CBSA
33007,Coos County,County
33007,"Berlin, NH",CBSA
26107,Mecosta County,County
26107,"Big Rapids, MI",CBSA
26107,"Grand Rapids-Kentwood-Muskegon, MI",CSA
48227,Howard County,County
48227,"Big Spring, TX",CBSA
51195,Wise County,County
51195,"Big Stone Gap, VA",CBSA
51720,Norton city,County
51720,"Big Stone Gap, VA",CBSA
30009,Carbon County,County
30009,"Billings, MT",CBSA
30095,Stillwater County,County
30095,"Billings, MT",CBSA
30111,Yellowstone County,County
30111,"Billings, MT",CBSA
36007,Broome County,County
36007,"Binghamton, NY",CBSA
36107,Tioga County,County
36107,"Binghamton, NY",CBSA
01007,Bibb County,County
01007,"Birmingham-Hoover, AL",CBSA
01007,"Birmingham-Hoover-Talladega, AL",CSA
01009,Blount County,County
01009,"Birmingham-Hoover, AL",CBSA
01009,"Birmingham-Hoover-Talladega, AL",CSA
01021,Chilton County,County
01021,"Birmingham-Hoover, AL",CBSA
01021,"Birmingham-Hoover-Talladega, AL",CSA
01073,Jefferson County,County
01073,"Birmingham-Hoover, AL",CBSA
01073,"Birmingham-Hoover-Talladega, AL",CSA
01115,St. Clair County,County
01115,"Birmingham-Hoover, AL",CBSA
01115,"Birmingham-Hoover-Talladega, AL",CSA
01117,Shelby County,County
01117,"Birmingham-Hoover, AL",CBSA
